(-43.22935115717756+2.8864612307382345j)
(-42.39204098659643-12.893037240090258j)
(-41.010542777506814+18.52248226901816j)
(-38.621869960548-28.68441882236934j)
(-34.886835459690936+33.65761231331466j)
(-28.880104464486905+2.415526707671044j)
(-27.992496401038547-10.500083404584224j)
(-26.892970156311012+15.323188651320034j)
(-24.228155271491655-23.42710552225836j)
(-17.409267683951594+1.9181873210961697j)
(-16.48934413044127-8.12174710793482j)
(-15.22838290966707+11.894005315762989j)
(-6.933905222617275+8.517268498655081j)
(-12.732054969343396-18.17190225266887j)
(-8.735576143049238+1.3787634144666097j)
(-7.857270362965904-5.762224019956337j)
(-6.097818416224054-28.224058153062483j)
(-4.125768966643407-12.927247782680091j)
(-2.931349516638365+0.8097353215417833j)
(-2.1298893807085673-3.4153989894922354j)
(-1.2301092588012041+5.012652058181897j)
(0.5206322969025196-0.9253077031572533j)
(-0.2319352197282796+0.12687385593690506j)
(1.5736873365429669-7.705540989461731j)
(2.493914245465062-20.108723882419127j)
(3.422978887344022-38.2848272249476j)
(4.350519536888096-2.5982854764612004j)
(9.537592981634864-3.26399144859094j)
(6.218061653863133+15.201322172093382j)
(8.191861178458527-12.010904119482497j)
(10.181226020310731+7.19465025207136j)
(10.990272774057374-4.075294920516728j)
(12.00651001177003-27.2947635910441j)
(13.560678528658404-0.31215305225808426j)
(15.81391234712033-48.34851895262924j)
(17.702400415589334-16.33098554315521j)
(21.051046537610517+40.469832461017525j)
(29.861909285871366-20.394395778456296j)
(24.41581981457442-34.47427874706948j)
(31.01546702089173+14.315974989049751j)
(39.68354957096826-41.63659486080891j)
(42.11932360508799+7.468055604550168j)
(45.47456353348497-25.151090261238533j)
