(-46.84044928623639+34.5778065162741j)
(-34.7566207291767+14.281441660444289j)
(-36.064931153878845-0.1505625560797214j)
(-30.734629851864906+28.816532893270843j)
(-23.043084827714807-0.09640195303715846j)
(-21.61499554084281+11.421633013331313j)
(-17.220781004366767-23.131875343545733j)
(-12.933423300446616-0.05409366701858577j)
(-11.482925282851511-8.689761397686539j)
(-9.988981253142805-34.642762766422486j)
(-7.1449434834512475-17.324982620948454j)
(-5.734212926950274-0.02410418171774067j)
(-4.2871172134202356-5.7772848468172855j)
(-1.416119646168185-0.006120977869726727j)
(-0.06677956522706982+2.9408619406158265j)
(1.4735981834534668-0.019913711627167697j)
(4.346041403319723-5.753477563200844j)
(5.764937859726174+0.00336080920837588j)
(7.155781374869902+17.285836350629115j)
(10.178139512644687-34.58328815273269j)
(11.49066871860248+8.663078384413021j)
(12.934585357915973+0.05934775182019911j)
(17.35096979449091-23.031203518375335j)
(21.346710337113894+11.690546071264652j)
(23.158079594536304-43.20394356650756j)
(31.42870524263357+4.332594951476399j)
(36.837340041862795+38.88226366342959j)
(33.28104614314662+15.269140291576113j)
(38.969750038600786+51.81876910145087j)
(43.5928668542661+7.650385888850399j)
(45.96649626889994-11.225307054028747j)
(47.68626074339036+33.773437419218375j)
