(-46.02240742556176-34.781793656732006j)
(-36.05302528948287-0.15240435442228265j)
(-34.56622599058079-14.559278174455022j)
(-30.421749056113782+28.690493389284736j)
(-23.076317062445824-0.09760028183754667j)
(-21.59845736237621-11.623766483009325j)
(-17.39209705767543+22.970627509993783j)
(-12.98332708390593-0.05471569317480081j)
(-11.568221569107527+8.597243214850602j)
(-10.001174944142326-34.65336190548354j)
(-7.258791350606611+17.246227642305225j)
(-5.7746064345263335-0.024260450071747756j)
(-4.351327182640938+5.748716965276906j)
(-1.449008460257485-0.006112411503253468j)
(-0.022942928575918398+2.8974148478917408j)
(1.45255977617011-0.0025447973389674124j)
(4.34022874559214-5.7623411153812j)
(5.758179874988092+0.020606315235845742j)
(7.1452977832416575+17.299986660942004j)
(10.081948498499036+34.60449183819413j)
(11.484788620365391+8.676190881139854j)
(12.932137415395102+0.06156220789749838j)
(17.349270346188383-23.0342673756601j)
(21.335953750305507+11.7095937509816j)
(23.16212854228809-43.19942339454925j)
(31.27198914360828+4.479284670128872j)
(33.3038062215569+15.271626545018387j)
(34.69235810639132-14.465257517838186j)
(37.46981342477902+25.37691969867874j)
(43.669887165605026+7.607128267332572j)
(45.97920727774165-11.223415165537801j)
(47.755075614111625+33.762238180474654j)
