[-0.023768358908708966,-11.734221269952194],[-0.0243284769489025,-10.723824139396545],[-0.02490358158645145,-9.710853802697578],[-0.025527910966898576,-8.695674220035599],[-0.02611233532282874,-7.676656919281902],[-0.026828895307878183,-6.617142791560616],[-0.028170853418432715,-5.341523052573522],[-0.02924628653490546,-4.018144026882938],[-0.03001973820519762,-3.2314151558518533],[-0.03125016504995767,-2.6043532579224644],[-0.046961647222615754,0.000576256798895838],[-0.04696178208460313,0.0005832895383073933],[-1.4060519700521137,-0.0030908255721326353],[-0.04697104200707015,0.0007079122674180423],[-0.041186392485190466,2.879131484979773],[-0.041236373432372866,2.8792258884795494],[-0.04124209559486253,2.879229420236824],[-0.04124048745536906,2.8792285974574505],[-0.04124727058700248,2.8792319597480382],[-0.04122663675573145,2.8792213598082412],[-0.04121472326144397,2.87924830992136],[-0.05325345857877063,11.48018585531153],[-0.053250299234346384,11.480209492194668],[-0.05329503419853895,11.48021792104745],[-0.05328844132000871,11.48027443355916]
[-0.02350416277466897,-11.99986027030273],[-0.02405481463545969,-10.999857104373698],[-0.024636539905473778,-9.999852812450824],[-0.025235607899384883,-8.999825839460796],[-0.025892209679302863,-7.999713945838009],[-0.026669609773783055,-6.9603677483957584],[-0.027495133464363684,-5.925970519600196],[-0.02875281985910912,-4.78956266467922],[-0.02963311446281159,-3.7457666441776594],[-0.03066747577185971,-2.959464647144973],[-0.03166662606614189,-2.3213072587096515],[-0.04696340104116475,0.0006027077188623521],[-0.04690876999837806,0.0006633042605003871],[-0.04697165274585076,0.0007238869426599719],[-0.041246267143968736,2.8791937159670513],[-0.04117675571605451,2.879241505052561],[-0.04118064391045544,2.879258886197716],[-0.04117110607280254,2.8792619112012843],[-0.04116337949386768,2.8792730391985173],[-0.04117722371830775,2.879280839760137],[-0.04125176026727834,2.8792354111407885],[-0.0532019865530288,11.480271092191916],[-0.05327458244291849,11.480219310341488],[-0.05324785402383005,11.480202001311063],[-0.053242215250988253,11.48031426880602]
[-0.023653003732691854,-11.708676337748019],[-0.024219926395999167,-10.695150699693354],[-0.024823321200834664,-9.679784964574525],[-0.025450630372473526,-8.662311982129737],[-0.026160464409061245,-7.631843286156277],[-0.026884882877746458,-6.580618891240745],[-0.028205305938946573,-5.2557052332193805],[-0.02883385379357809,-4.305094574320395],[-0.03072505404641668,-3.1177939614943133],[-0.031076942766083797,-2.7105118883683788],[-0.04696149054006785,0.0005738958781954048],[1.351849918164224,0.0016812217214450603],[1.3518427051135422,0.0016854302129352973],[-0.04696931445368028,0.0007022106692549659],[-0.041190908850556554,2.879155954257457],[-0.04115169090502459,2.8792205433133025],[-0.04114082749686725,2.8792256622245196],[-0.041138581439446556,2.879225791354146],[-0.04112910988530635,2.8792291032147346],[-0.04114445809506309,2.8792239348411073],[-0.041160314642458826,2.8792397025981256],[-0.05317521742573377,11.480263826236984],[-0.05325019242431415,11.480210071497392],[-0.053205531036768464,11.480218527779357],[-0.053190026147362936,11.480285595419595]
[-0.024242352822165764,-10.651742209273182],[-0.024881555421027258,-9.558683065682745],[-0.025588468826392517,-8.439375870250139],[-0.026526872703452085,-7.195027014807659],[-0.02752625165774025,-5.9256850177075355],[-0.0283413021047405,-4.551860014361407],[-0.030839130067434918,-2.814975972159838],[1.3519614141908158,0.0016161602883027907],[1.3519459845577528,0.0016251649231304858],[1.351945143085992,0.001625655989665866],[1.3519378297622588,0.001629923882112019],[1.3519677464577555,0.0016124647301370481],[1.3519595103768833,0.0016172713602719334],[1.351855489533837,0.0016779710339608375],[-0.04696920425868682,0.0006959563970101469],[-0.04115108561009938,2.879221355159585],[-0.041146461563983626,2.879223254626322],[4.24205163187567,5.732509689142814],[4.243625528379642,5.733326276157279],[4.242415886032553,5.732688988208155],[-0.041157069020106865,2.8792189748305383],[-0.04123185038237572,2.8792246027878754],[-0.05325059897123634,11.480193707741103],[-0.05320041065448041,11.4802463288666],[-0.05319867075307034,11.480281796947516]
[4.301800051590242,-5.844503251769324],[4.544390977245515,-6.593997762471056],[4.555145293331958,-6.627886097741646],[4.471980020041011,-6.366892777708253],[4.3567887419675095,-6.01078963776485],[4.212629771197925,-5.579907948528626],[4.0460030783912835,-5.101957384360368],[3.8639243826945453,-4.601634239307055],[1.3519468186758958,0.0016246781459459177],[1.3519427514899987,0.0016270516797216637],[1.3519397132424231,0.0016288247330256802],[1.3519410227286193,0.0016280605467248518],[1.3519347426246162,0.001631725446888363],[1.3519549767293606,0.0016199171889702349],[-0.046969128642808194,0.0006953275402802471],[-0.04115751623798193,2.879218800028083],[4.15345982260631,5.688368060357845],[4.243393381696592,5.73321247494124],[4.243100081309162,5.73306910401394],[4.243336492425952,5.733156426352284],[4.243347715879766,5.7331824378729985],[-0.04114357486758353,2.879224410184249],[-0.05325378512369635,11.480198183464147],[-0.053198213863424104,11.480250175088363],[-0.05319688556297565,11.480282952467764]
[5.601927339664665,-10.336250920091235],[5.421123124323908,-9.641564338709756],[5.212509865983849,-8.868174755701494],[5.001220675662577,-8.115836084316024],[4.671715357175123,-7.003248153962317],[4.476051968574346,-6.377999861009419],[4.295183055957902,-5.8249410054393795],[4.06895586547032,-5.164331781502189],[3.7878743678779014,-4.398418130954683],[1.351952028462346,0.0016216377766341266],[1.3519523383751704,0.001621456912420263],[1.351945172878491,0.001625638604706087],[1.3519399599941533,0.0016286807353474795],[1.3519414849245912,0.0016277908216071522],[1.3518477550912988,0.0016824837827962875],[-0.04114724648660998,2.8792229940626],[4.18418633610051,5.703595146231165],[4.21304455184998,5.71801534087242],[4.236372184084513,5.729709203284301],[4.243157768476613,5.733093592682024],[4.24210079681891,5.732567840842041],[4.244070999214479,5.733547091298506],[-0.041235708982708355,2.879226109176132],[-0.053197408271151186,11.480213169155943],[-0.05319013059775368,11.480286531044253]
[5.893323643919145,-11.50363815257849],[5.680989669881089,-10.647168689327074],[5.45069983418975,-9.752895939243668],[5.196366827617682,-8.809716491106041],[4.9275578562227125,-7.859159771400985],[4.5592285731692295,-6.640957325120561],[4.362642004672852,-6.028436447346106],[4.065910381675377,-5.15701322330525],[3.5940252104931667,-3.9058248104123794],[1.351954493799115,0.0016201990251864683],[-0.046969342221536835,0.0006935506036733303],[5.681885828436484,-0.002221593599228387],[5.681892015276764,-0.0022254052997985945],[5.681890240615003,-0.002224311932090968],[1.3519600486017473,0.0016169572501417394],[-0.04113786733534678,2.8792266815012826],[4.243258936048719,5.7331125299566805],[4.251959145861181,5.737461560648342],[4.25225080196419,5.737592212103932],[4.253225854066369,5.7381142389923365],[4.252898589319124,5.737916631094678],[4.253323052082612,5.738174084265471],[4.243899237876863,5.733462135856922],[-0.053246665815334555,11.48018647823558],[-0.053182475030718296,11.4802906376967]
[6.012210456714943,-11.996908167696137],[5.77409812493093,-11.018877364825878],[5.516196405021902,-10.003552760288876],[5.2199158640716465,-8.8954512672674],[4.914792852308511,-7.815464233766166],[4.589323271545916,-6.736123422803167],[4.240097039099724,-5.66095738551049],[3.736741229493306,-4.267007950507017],[1.3519334370030738,0.0016324873657905256],[5.681997192523855,-0.0022902083982533727],[5.681995485548001,-0.0022891566230599262],[5.682005418594491,-0.0022952770322110247],[5.68199086940671,-0.0022863123327141457],[5.681892573243079,-0.0022257490645546493],[5.681867913844663,-0.0022105565788069067],[-0.046970213977845676,0.0007230138921587591],[4.244024633837903,5.733527791249201],[4.252560980550611,5.737748916912105],[4.251823495601707,5.7373819608394925],[4.255614455195163,5.739331212250353],[4.253624354115606,5.738274512746354],[4.252001842372179,5.7374987741568795],[4.252394264215946,5.737705583157895],[-0.04114713491203011,2.8792290398571225],[-0.0531964618718984,11.480283054018365]
[6.010707682688383,-11.99009696603212],[5.739615995330389,-10.880616427680522],[5.441172855522521,-9.717085353533973],[5.089697264379274,-8.425234067072164],[4.686304053099986,-7.048998242907608],[4.19474052592106,-5.52744557860395],[5.681894035559729,-0.0022266499998059566],[5.681980709304754,-0.0022800521130690505],[5.681975396299861,-0.002276778490135692],[5.681972902243377,-0.0022752417788159873],[5.681975317528122,-0.0022767299567532356],[5.68197061729431,-0.002273833909451566],[5.68200680652762,-0.002296132233178777],[5.681900358584906,-0.0022305456384849056],[5.681898454330529,-0.0022293724189197043],[1.3519358585396177,0.001631074232507288],[4.242140112037914,5.732554140030574],[4.253507652348524,5.738223727359306],[4.2519065814136745,5.7374252510776245],[4.251975823706964,5.737485886170206],[4.252751024280027,5.737845896339837],[4.253405588143887,5.738205357336069],[4.251927731779215,5.737435445338585],[4.252859721891919,5.737894812861719],[-0.05318736634942772,11.480227227833337]
[5.863293834623755,-11.380477164857773],[5.4951473843419105,-9.922765020647873],[5.0843779882642215,-8.408544901996333],[4.4037526465199495,-6.154353703836055],[5.681989228426198,-0.0022853012260547908],[5.681991382002145,-0.002286628175029433],[5.681986107732099,-0.0022833783846325584],[5.681979937883655,-0.0022795767970853085],[5.681977651251293,-0.0022781678827182143],[5.681977246818273,-0.0022779186916678414],[5.6819794817918785,-0.0022792957762064144],[5.68197864793655,-0.002278781993024994],[5.6819762306756685,-0.0022772925932174645],[5.6819764550440865,-0.0022774308370496718],[5.681895851517923,-0.002227768817240517],[5.681871077276669,-0.0022125055269923625],[4.243640897029401,5.733311258469819],[4.251641538649738,5.737327243966889],[4.253458981042262,5.7382015513071405],[4.252560644482488,5.737787596358204],[4.251962535354434,5.737485042749838],[4.253600018375967,5.738264600739366],[4.252889818230726,5.737947721064707],[4.2524451417453495,5.737729266081933],[4.243196204061365,5.733108548712909]
[5.293170043806487,-9.163059441733543],[5.681993456845572,-0.002287906612086081],[9.515894310721439,-5.11941283496434],[10.425204209489427,-6.672068064576893],[10.217373030468163,-6.299728387725754],[9.02468852238568,-4.361529882808951],[5.681985950005648,-0.0022832811979730406],[5.681989093985661,-0.0022852183894071496],[5.682000978177701,-0.0022925409862620946],[5.681984414272507,-0.0022823349476476726],[5.681979240623657,-0.002279147177880914],[5.681979519899246,-0.002279319255697637],[5.681980051943732,-0.002279647075263538],[5.681982403883028,-0.0022810962350375682],[5.681895701795666,-0.0022276765730791493],[5.681866450122715,-0.002209654800519133],[4.242955754718055,5.73300536814864],[4.252774211618949,5.737859253236578],[4.2517348154220915,5.737363635971481],[4.253261557623433,5.738138181750782],[4.253311053255242,5.738159290339651],[4.252237757625758,5.737586335902097],[4.253129842821805,5.738041173965059],[4.253607522827373,5.73826908011794],[4.252220138323888,5.737581206374492]
[11.434183586883591,-8.582863590678278],[11.430960503808011,-8.576434463532085],[11.284227702094656,-8.287034352184058],[11.216689371007284,-8.155837826591577],[10.888537100957242,-7.525221990278334],[10.863624210799097,-7.477518655994925],[10.077653870288467,-6.055214660667402],[5.6819757515349965,-0.002276997366935065],[5.681971602946882,-0.0022744412174701516],[5.681979267904587,-0.002279163988066368],[5.681985005661003,-0.0022826993364864425],[5.681984964846207,-0.0022826741871589708],[5.681983667852533,-0.002281875036225911],[5.681896123087748,-0.0022279361287014165],[5.681989640132923,-0.0022855549049285275],[5.681884581178312,-0.002220825169402217],[4.2434229307610805,5.733228781666874],[4.2526867011356595,5.737813667534503],[4.252806971106726,5.737871036831934],[9.59479086032037,7.9852404740737715],[10.803226639878346,8.40827310613698],[10.959821464519674,8.461282536097322],[11.330968476047701,8.585350449087223],[9.787184170425217,8.054514480749754],[4.253131636654164,5.738070487275044]
[12.25663963415954,-10.278453379002613],[12.015248367095282,-9.769786344332035],[11.68284571211327,-9.08304115776643],[11.477252182135743,-8.668966983773027],[11.173561010647374,-8.070749632271157],[10.83330498567336,-7.420730468848234],[10.334178429288226,-6.508300971262195],[5.681981232733019,-0.0022803746247855093],[5.68199616111419,-0.002289572883274705],[5.6819881919382595,-0.0022846625864022816],[5.681984108541001,-0.002282146569245244],[12.87182687811669,0.0031136892609525514],[12.871832195527805,0.0031103801672222784],[12.871835560589268,0.0031082859344462115],[5.68198826378434,-0.0022847068521679066],[5.681986171421489,-0.002283417626629923],[1.3518455645989809,0.001683761837836231],[4.252060185631486,5.7375271950159785],[4.253531860647253,5.738278608493592],[11.416916327055956,8.61400150138886],[11.413926271392432,8.613013002663793],[11.414175133713382,8.613040372727312],[11.41010299627359,8.61175065409043],[11.415633348521954,8.613579684254],[10.354267790635479,8.253393800685956]
[12.715130418369952,-11.27514510770159],[12.392417332548492,-10.569733331035682],[12.029486340246468,-9.79844798082566],[11.666839530590291,-9.050585276822853],[11.289978255055043,-8.297762013379264],[10.894223856135037,-7.535560363401681],[10.219158960541284,-6.303155719911023],[5.6820071793773765,-0.0022963619712536272],[5.681987913939473,-0.0022844912943016382],[12.871835700374668,0.003108198950481466],[12.871830089999037,0.0031116904878450216],[12.871822919380453,0.003116153001742897],[12.87184203083681,0.0031042592434370247],[12.871824909030636,0.003114914768113399],[12.871833062225113,0.0031098407629009655],[5.681990556071427,-0.002286119268160171],[5.681878237412774,-0.002216916813123234],[4.25203195729256,5.737514130116567],[10.249726290160343,8.216489010476137],[11.189498345299489,8.5379217349712],[11.496601222221862,8.640608508319806],[11.610213552154912,8.677865055963009],[11.673894772900658,8.69870998535743],[11.563344388764977,8.662646852638503],[11.377184021309997,8.600773625697611]
